date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:02:37	135068/135068	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Sep%202025%2001:02:41%20GMT	https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya	C:/clone/okezone/techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya.html	(from )
10:02:38	205/205	---MCZ	200	added ('OK')	text/plain	etag:W/%226784a546-1a4%22	https://techno.okezone.com/robots.txt		(from )
10:02:38	617195/617195	---M--	200	added ('OK')	image/gif	etag:%2264000bce-96aeb%22	https://cdn.okezone.com/www/2016/img/OKZ3.gif	C:/clone/okezone/cdn.okezone.com/www/2016/img/OKZ3.gif	(from https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya)
10:02:38	13490/13490	---M--	200	added ('OK')	image/png	etag:W/%22PSA-aj-ISMTrLf6bX%22	https://cdn.okezone.com/underwood/revamp/assets/2025/favicon-192x192.png	C:/clone/okezone/cdn.okezone.com/underwood/revamp/assets/2025/favicon-192x192.png	(from https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya)
10:02:39	10388/10388	---M--	200	added ('OK')	image/png	etag:W/%22PSA-aj-tKgXDMxb6A%22	https://cdn.okezone.com/underwood/revamp/assets/2025/favicon-160x160.png	C:/clone/okezone/cdn.okezone.com/underwood/revamp/assets/2025/favicon-160x160.png	(from https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya)
10:02:39	4813/4813	---M--	200	added ('OK')	image/png	etag:W/%22PSA-aj-I8x_aLBFYx%22	https://cdn.okezone.com/underwood/revamp/assets/2025/favicon-96x96.png	C:/clone/okezone/cdn.okezone.com/underwood/revamp/assets/2025/favicon-96x96.png	(from https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya)
10:02:39	847/847	---M--	200	added ('OK')	image/png	etag:W/%22PSA-aj-WTYgzp1tdn%22	https://cdn.okezone.com/underwood/revamp/assets/2025/favicon-16x16.png	C:/clone/okezone/cdn.okezone.com/underwood/revamp/assets/2025/favicon-16x16.png	(from https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya)
10:02:39	1742/1742	---M--	200	added ('OK')	image/png	etag:W/%22PSA-aj-4M8fuljiRu%22	https://cdn.okezone.com/underwood/revamp/assets/2025/favicon-32x32.png	C:/clone/okezone/cdn.okezone.com/underwood/revamp/assets/2025/favicon-32x32.png	(from https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya)
10:02:39	12767/12767	---M--	200	added ('OK')	image/png	etag:W/%22PSA-aj-_2Rzn5Dmmz%22	https://cdn.okezone.com/underwood/revamp/assets/2025/imgsrc.png	C:/clone/okezone/cdn.okezone.com/underwood/revamp/assets/2025/imgsrc.png	(from https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya)
10:02:40	132695/132695	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Sep%202025%2001:02:44%20GMT	https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya?page=2	C:/clone/okezone/techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya4658.html	(from https://techno.okezone.com/read/2025/08/29/57/3166258/vivo-v60-resmi-diluncurkan-dengan-zeiss-telephoto-dan-fitur-fotografi-ai-eksklusif-cek-harganya)
